Date,AAPL,MSFT,GOOG,TSLA,BTC-USD
2021-05-03,131.75689697265625,249.82505798339844,2395.169921875,684.9000244140625,57200.29296875
2021-05-04,127.0946044921875,245.78794860839844,2354.25,673.5999755859375,53333.5390625
2021-05-05,127.34313201904297,244.47860717773438,2356.739990234375,670.9400024414062,57424.0078125
2021-05-06,128.97344970703125,247.7122802734375,2381.35009765625,663.5399780273438,56396.515625
2021-05-07,129.66055297851562,250.4202117919922,2398.68994140625,672.3699951171875,57356.40234375
2021-05-10,126.31470489501953,245.18287658691406,2341.659912109375,629.0399780273438,55859.796875
2021-05-11,125.3786849975586,244.24053955078125,2308.760009765625,617.2000122070312,56704.57421875
2021-05-12,122.25192260742188,237.06898498535156,2239.080078125,589.8900146484375,49150.53515625
2021-05-13,124.44264221191406,241.06639099121094,2261.969970703125,571.6900024414062,49716.19140625
2021-05-14,126.91217803955078,246.14505004882812,2316.159912109375,589.739990234375,49880.53515625
2021-05-17,125.7371597290039,243.1990509033203,2321.409912109375,576.8300170898438,43537.51171875
2021-05-18,124.3231430053711,241.11602783203125,2303.429931640625,577.8699951171875,42909.40234375
2021-05-19,124.16383361816406,241.71253967285156,2308.7099609375,563.4600219726562,37002.44140625
2021-05-20,126.77276611328125,245.05307006835938,2356.090087890625,586.780029296875,40782.73828125
2021-05-21,124.90070343017578,243.75067138671875,2345.10009765625,580.8800048828125,37304.69140625
2021-05-24,126.56365203857422,249.3282012939453,2406.669921875,606.4400024414062,38705.98046875
2021-05-25,126.364501953125,250.26275634765625,2409.070068359375,604.6900024414062,38402.22265625
2021-05-26,126.31470489501953,250.03408813476562,2433.530029296875,619.1300048828125,39294.19921875
2021-05-27,124.75133514404297,247.86669921875,2402.510009765625,630.8499755859375,38436.96875
2021-05-28,124.08415985107422,248.2345428466797,2411.56005859375,625.219970703125,35697.60546875
2021-06-01,123.75555419921875,245.96775817871094,2429.81005859375,623.9000244140625,36684.92578125
2021-06-02,124.53225708007812,245.8683319091797,2421.280029296875,605.1199951171875,37575.1796875
2021-06-03,123.01868438720703,244.2875518798828,2404.610107421875,572.8400268554688,39208.765625
2021-06-04,125.3587646484375,249.33811950683594,2451.760009765625,599.0499877929688,36894.40625
2021-06-07,125.36872100830078,252.3406524658203,2466.090087890625,605.1300048828125,33560.70703125
2021-06-08,126.20516967773438,251.10784912109375,2482.85009765625,603.5900268554688,33472.6328125
2021-06-09,126.5935287475586,252.12191772460938,2491.39990234375,598.780029296875,37345.12109375
2021-06-10,125.57783508300781,255.75079345703125,2521.60009765625,610.1199951171875,36702.59765625
2021-06-11,126.8125991821289,256.39703369140625,2513.929931640625,609.8900146484375,37334.3984375
2021-06-14,129.92938232421875,258.3854675292969,2527.0400390625,617.6900024414062,40218.4765625
2021-06-15,129.09292602539062,256.8642883300781,2520.659912109375,599.3599853515625,40406.26953125
2021-06-16,129.6007843017578,255.8899688720703,2513.929931640625,604.8699951171875,38347.0625
2021-06-17,131.23385620117188,259.3896179199219,2527.419921875,616.5999755859375,38053.50390625
2021-06-18,129.90948486328125,257.9281005859375,2511.35009765625,623.3099975585938,35787.24609375
2021-06-21,131.74169921875,261.1095886230469,2529.10009765625,620.8300170898438,31676.693359375
2021-06-22,133.41461181640625,263.9729309082031,2539.989990234375,623.7100219726562,32505.66015625
2021-06-23,133.13580322265625,263.7342834472656,2529.22998046875,656.5700073242188,33723.02734375
2021-06-24,132.8470458984375,265.1460876464844,2545.639892578125,679.8200073242188,34662.4375
2021-06-25,132.5482940673828,263.4857482910156,2539.89990234375,671.8699951171875,31637.779296875
2021-06-28,134.2112579345703,267.1643371582031,2536.389892578125,688.719970703125,34434.3359375
2021-06-29,135.75469970703125,269.82879638671875,2520.3701171875,680.760009765625,35867.77734375
2021-06-30,136.38206481933594,269.33172607421875,2506.320068359375,679.7000122070312,35040.8359375
2021-07-01,136.69073486328125,270.0276794433594,2527.3701171875,677.9199829101562,33572.1171875
2021-07-02,139.36940002441406,276.0426330566406,2574.3798828125,678.9000244140625,33897.046875
2021-07-06,141.4207000732422,276.0525817871094,2595.419921875,659.5800170898438,34235.1953125
2021-07-07,143.95994567871094,278.3094482421875,2601.550048828125,644.6500244140625,33855.328125
2021-07-08,142.63555908203125,275.81396484375,2583.5400390625,652.8099975585938,32877.37109375
2021-07-09,144.49765014648438,276.3309631347656,2591.489990234375,656.9500122070312,33798.01171875
2021-07-12,143.89022827148438,275.7145690917969,2611.280029296875,685.7000122070312,33155.84765625
2021-07-13,145.02542114257812,279.3533630371094,2619.889892578125,668.5399780273438,32702.025390625
2021-07-14,148.52059936523438,280.8745422363281,2641.64990234375,653.3800048828125,32822.34765625
2021-07-15,147.85342407226562,279.4030456542969,2625.330078125,650.5999755859375,31780.73046875
2021-07-16,145.77224731445312,279.12469482421875,2636.909912109375,644.219970703125,31421.5390625
2021-07-19,141.848876953125,275.4063720703125,2585.080078125,646.219970703125,30817.83203125
2021-07-20,145.5332489013672,277.7029724121094,2622.030029296875,660.5,29807.34765625
2021-07-21,144.7864227294922,279.7709045410156,2652.010009765625,655.2899780273438,32110.693359375
2021-07-22,146.18052673339844,284.4834899902344,2666.570068359375,649.260009765625,32313.10546875
2021-07-23,147.93307495117188,287.9930419921875,2756.320068359375,643.3800048828125,33581.55078125
2021-07-26,148.3612823486328,287.3766174316406,2792.889892578125,657.6199951171875,37337.53515625
2021-07-27,146.15065002441406,284.8811950683594,2735.929931640625,644.780029296875,39406.94140625
2021-07-28,144.3682098388672,284.5630187988281,2727.6298828125,646.97998046875,39995.90625
